图像ID,图像名称,宽度(px),高度(px),文件大小(KB),颜色深度,格式,亮度,对比度,饱和度,边缘强度,物体数量,主色调,检测时间(ms)
IMG001,风景照片,3840,2160,2456,24,JPG,0.68,0.75,0.82,0.55,3,蓝色,125
IMG002,人物肖像,1920,1080,1890,24,JPG,0.58,0.82,0.75,0.72,1,肤色,89
IMG003,产品图片,2048,2048,2145,24,PNG,0.72,0.68,0.78,0.65,1,白色,78
IMG004,建筑照片,4096,3072,3280,24,JPG,0.62,0.85,0.70,0.78,5,灰色,156
IMG005,动物照片,2560,1440,1980,24,JPG,0.65,0.78,0.80,0.68,2,棕色,98
IMG006,食物照片,1280,720,890,24,PNG,0.70,0.72,0.88,0.60,4,红色,62
IMG007,截图,1920,1080,320,32,PNG,0.64,0.65,0.72,0.52,8,蓝色,45
IMG008,插画,3000,2000,2560,24,JPG,0.68,0.70,0.85,0.45,10,多彩,112
IMG009,扫描文档,2480,3508,1870,8,TIF,0.75,0.90,0.50,0.85,0,白色,58
IMG010,夜景照片,3648,2736,2980,24,JPG,0.35,0.95,0.65,0.72,2,黑色,134
IMG011,微距照片,4000,3000,3120,24,JPG,0.60,0.80,0.82,0.88,1,绿色,145
IMG012,广告设计图,2800,1600,2250,32,PNG,0.72,0.75,0.90,0.58,6,红色,108
IMG013,卫星图,8192,8192,12580,16,PNG,0.55,0.68,0.60,0.48,0,蓝色,245
IMG014,医疗影像,1024,1024,480,16,DCM,0.45,0.85,0.40,0.75,0,灰色,38
IMG015,自拍照,1600,1200,1450,24,JPG,0.68,0.78,0.75,0.62,1,肤色,56
IMG016,毕业照,3264,2448,2890,24,JPG,0.65,0.72,0.70,0.55,35,多彩,198
IMG017,产品实拍,2000,2000,1890,24,PNG,0.69,0.74,0.78,0.64,1,蓝色,82
IMG018,艺术照,2400,3600,2780,24,JPG,0.62,0.80,0.88,0.70,1,紫色,128
IMG019,监控截图,1280,720,250,24,JPG,0.50,0.82,0.65,0.80,3,灰色,42
IMG020,证件照,600,800,180,24,JPG,0.72,0.75,0.68,0.58,1,白色,28
