SKU,产品名称,类别,入库日期,当前库存,安全库存,库存天数,采购成本,销售价格,供应商,仓库位置
SKU001,苹果iPhone 15,电子产品,2023-12-01,156,50,28,4999,6999,苹果公司,A1-01
SKU002,三星Galaxy S24,电子产品,2023-12-05,89,40,35,4299,5999,三星电子,A1-02
SKU003,华为Mate 60,电子产品,2023-11-20,234,80,12,4799,6499,华为技术,A1-03
SKU004,小米14 Pro,电子产品,2023-12-10,312,100,8,3299,4299,小米科技,A1-04
SKU005,联想ThinkPad X1,电子产品,2023-11-15,67,30,45,7999,10999,联想集团,A2-01
SKU006,戴尔XPS 13,电子产品,2023-12-08,98,40,22,6999,9499,戴尔科技,A2-02
SKU007,耐克Air Max,服装,2023-12-15,456,150,7,599,899,耐克公司,B1-01
SKU008,阿迪达斯Ultraboost,服装,2023-12-12,389,120,10,549,799,阿迪达斯,B1-02
SKU009,优衣库羽绒服,服装,2023-11-05,123,60,55,399,699,优衣库,B2-01
SKU010,海澜之家西装,服装,2023-12-03,234,80,25,799,1299,海澜之家,B2-02
SKU011,德芙巧克力礼盒,食品,2024-01-05,567,200,5,58,118,玛氏公司,C1-01
SKU012,费列罗榛果巧克力,食品,2024-01-08,423,180,8,88,168,费列罗,C1-02
SKU013,百草味坚果礼盒,食品,2024-01-02,890,300,3,98,198,百草味,C2-01
SKU014,三只松鼠零食,食品,2024-01-10,678,250,6,78,158,三只松鼠,C2-02
SKU015,宜家书柜,家具,2023-10-25,45,20,78,499,999,宜家家居,D1-01
SKU016,顾家沙发,家具,2023-11-10,23,10,65,2999,4999,顾家家居,D1-02
SKU017,索菲亚衣柜,家具,2023-12-01,34,15,42,3499,5999,索菲亚,D2-01
SKU018,慕思床垫,家具,2023-12-05,56,25,35,1999,3499,慕思寝具,D2-02
SKU019,索尼WH-1000XM5,电子产品,2023-12-15,123,50,18,1999,2699,索尼公司,A3-01
SKU020,AirPods Pro 2,电子产品,2023-12-18,289,100,12,1599,1899,苹果公司,A3-02
