日期,产品类别,产品名称,销售数量,单价,销售额,利润,区域,销售员
2024-01-01,电子产品,智能手机,120,3999,479880,143964,华北区,张三
2024-01-02,电子产品,笔记本电脑,85,6999,594915,178474.5,华东区,李四
2024-01-03,服装,冬季外套,150,899,134850,40455,华南区,王五
2024-01-04,食品,进口巧克力,300,58,17400,5220,西南区,赵六
2024-01-05,家具,办公椅,60,399,23940,7182,华北区,张三
2024-01-06,电子产品,平板电脑,95,2999,284905,85471.5,华东区,李四
2024-01-07,服装,牛仔裤,180,299,53820,16146,华南区,王五
2024-01-08,食品,有机坚果,250,88,22000,6600,西南区,赵六
2024-01-09,家具,书桌,45,899,40455,12136.5,华北区,张三
2024-01-10,电子产品,无线耳机,200,599,119800,35940,华东区,李四
2024-01-11,服装,运动鞋,160,499,79840,23952,华南区,王五
2024-01-12,食品,咖啡礼盒,180,199,35820,10746,西南区,赵六
2024-01-13,电子产品,智能手表,140,1999,279860,83958,华北区,张三
2024-01-14,服装,连衣裙,120,399,47880,14364,华东区,李四
2024-01-15,食品,进口红酒,100,399,39900,11970,华南区,王五
2024-01-16,家具,沙发,25,4999,124975,37492.5,西南区,赵六
2024-01-17,电子产品,智能音箱,180,299,53820,16146,华北区,张三
2024-01-18,服装,衬衫,220,199,43780,13134,华东区,李四
2024-01-19,食品,有机蜂蜜,150,128,19200,5760,华南区,王五
2024-01-20,家具,衣柜,30,3999,119970,35991,西南区,赵六
